title,author
VINCE FLYNN: DENIED ACCESS,Don Bentley
THE PORTRAIT,Danielle Steel
SOUL SEARCHING,Lyla Sage
BURNING DAYLIGHT,Emily McIntire
THE KILLING STONES,Ann Cleeves
THE GIRL FROM DEVIL'S LAKE,J.A. Jance
MATE,Ali Hazelwood
THE INTRUDER,Freida McFadden
CRY HAVOC,Jack Carr
TWICE,Mitch Albom
SHARP FORCE,Patricia Cornwell
MY BELOVED,Jan Karon
SHADOW TICKET,Thomas Pynchon
ALCHEMY OF SECRETS,Stephanie Garber
FOR WHOM THE BELLE TOLLS,Jaysea Lynn
GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben
REMAIN,Nicholas Sparks with M. Night Shyamalan
RED RISING,Pierce Brown
"MERRY CHRISTMAS, YOU FILTHY ANIMAL",Meghan Quinn
THE PICASSO HEIST,James Patterson and Howard Roughan
BOLEYN TRAITOR,Philippa Gregory
THE WIDOW,John Grisham
THE PROVING GROUND,Michael Connelly
THE THINGS GODS BREAK,Abigail Owen
KING SORROW,Joe Hill
GOOD SPIRITS,B.K. Borison
THE BLACK WOLF,Louise Penny
BONDS OF HERCULES,Jasmine Mas
THE DEFENDER,Ana Huang
THE TIN MEN,Nelson DeMille and Alex DeMille
WRECK,Catherine Newman
MURDER AT HOLLY HOUSE,Denzil Meyrick
BAD BISHOP,L.J. Shen
THE CHRISTMAS STRANGER,Richard Paul Evans
EMPIRE OF THE DAWN,Jay Kristoff
EXIT STRATEGY,Lee Child and Andrew Child
THE STRENGTH OF THE FEW,James Islington
NASH FALLS,David Baldacci
THE KING'S RANSOM,Janet Evanovich
BETWEEN TWO KINGS,Lindsay Straube
THE CORRESPONDENT,Virginia Evans
BRIMSTONE,Callie Hart
THE SEVEN RINGS,Nora Roberts
RETURN OF THE SPIDER,James Patterson
THE COLOR OF HOPE,Danielle Steel
CLIVE CUSSLER: QUANTUM TEMPEST,Mike Maden
THE BOOK OF AZRAEL,Amber V. Nicole
SWEET VENOM,Rina Kent
HEATED RIVALRY,Rachel Reid
THEO OF GOLDEN,Allen Levi
MONA'S EYES,Thomas Schlesser
THE HOUSEMAID'S SECRET,Freida McFadden
THE HOUSEMAID IS WATCHING,Freida McFadden
THE LONG GAME,Rachel Reid
IN YOUR DREAMS,Sarah Adams
DUNGEON CRAWLER CARL,Matt Dinniman
WE WHO WILL DIE,Stacia Stark
THE FIRST TIME I SAW HIM,Laura Dave
DARK JOY,Christine Feehan
GAME CHANGER,Rachel Reid
WOMAN DOWN,Colleen Hoover
THE DEVIL'S DAUGHTER,Danielle Steel
ANATOMY OF AN ALIBI,Ashley Elston
