published_date,title,author,rank,weeks_on_list
2025-04-06,THE CRASH,Freida McFadden,11,8
2025-04-06,LIGHTS OUT,Navessa Allen,12,11
2025-04-06,THE FROZEN RIVER,Ariel Lawhon,13,17
2025-04-06,THE WEDDING PEOPLE,Alison Espach,14,15
2025-04-06,THE BUFFALO HUNTER HUNTER,Stephen Graham Jones,15,1
2025-04-13,LETHAL PREY,John Sandford,1,1
2025-04-13,ONYX STORM,Rebecca Yarros,2,10
2025-04-13,NOBODY'S FOOL,Harlan Coben,3,1
2025-04-13,SUMMER IN THE CITY,Alex Aster,4,1
2025-04-13,FOURTH WING,Rebecca Yarros,5,88
2025-04-13,THE HOUSEMAID,Freida McFadden,6,90
2025-04-13,BROKEN COUNTRY,Clare Leslie Hall,7,4
2025-04-13,THE NIGHTINGALE,Kristin Hannah,8,75
2025-04-13,ELPHIE,Gregory Maguire,9,1
2025-04-13,LIGHTS OUT,Navessa Allen,10,12
2025-04-13,THE CRASH,Freida McFadden,11,9
2025-04-13,THE WEDDING PEOPLE,Alison Espach,12,16
2025-04-13,THE STRAWBERRY PATCH PANCAKE HOUSE,Laurie Gilmore,13,2
2025-04-13,GOD OF WAR,Rina Kent,14,1
2025-04-13,IRON FLAME,Rebecca Yarros,15,62
2025-04-20,SAY YOU'LL REMEMBER ME,Abby Jimenez,1,1
2025-04-20,ONYX STORM,Rebecca Yarros,2,11
2025-04-20,BROKEN COUNTRY,Clare Leslie Hall,3,5
2025-04-20,THE HOUSEMAID,Freida McFadden,4,91
2025-04-20,FOURTH WING,Rebecca Yarros,5,89
2025-04-20,THE NIGHTINGALE,Kristin Hannah,6,76
2025-04-20,LETHAL PREY,John Sandford,7,2
2025-04-20,THE WEDDING PEOPLE,Alison Espach,8,17
2025-04-20,NOBODY'S FOOL,Harlan Coben,9,2
2025-04-20,SUMMER IN THE CITY,Alex Aster,10,2
2025-04-20,THE CRASH,Freida McFadden,11,10
2025-04-20,THE FROZEN RIVER,Ariel Lawhon,12,18
2025-04-20,LIGHTS OUT,Navessa Allen,13,13
2025-04-20,IRON FLAME,Rebecca Yarros,14,63
2025-04-20,THE SIRENS,Emilia Hart,15,1
2025-04-27,ENCHANTRA,Kaylie Smith,1,1
2025-04-27,SAY YOU'LL REMEMBER ME,Abby Jimenez,2,2
2025-04-27,ONYX STORM,Rebecca Yarros,3,12
2025-04-27,BLOOD OF HERCULES,Jasmine Mas,4,1
2025-04-27,FIREBIRD,Juliette Cross,5,1
2025-04-27,BROKEN COUNTRY,Clare Leslie Hall,6,6
2025-04-27,THE HOUSEMAID,Freida McFadden,7,92
2025-04-27,FOURTH WING,Rebecca Yarros,8,90
2025-04-27,THE GRIFFIN SISTERS' GREATEST HITS,Jennifer Weiner,9,1
2025-04-27,THE NIGHTINGALE,Kristin Hannah,10,77
2025-04-27,THE WEDDING PEOPLE,Alison Espach,11,18
2025-04-27,THE FROZEN RIVER,Ariel Lawhon,12,19
2025-04-27,VERITY,Colleen Hoover,13,96
2025-04-27,LETHAL PREY,John Sandford,14,3
2025-04-27,THE CRASH,Freida McFadden,15,11
2025-05-04,THE PERFECT DIVORCE,Jeneva Rose,1,1
2025-05-04,STRANGERS IN TIME,David Baldacci,2,1
2025-05-04,WILD AND WRANGLED,Lyla Sage,3,1
2025-05-04,ONYX STORM,Rebecca Yarros,4,13
2025-05-04,SAY YOU'LL REMEMBER ME,Abby Jimenez,5,3
2025-05-04,FOURTH WING,Rebecca Yarros,6,91
2025-05-04,BROKEN COUNTRY,Clare Leslie Hall,7,7
2025-05-04,THE HOUSEMAID,Freida McFadden,8,93
2025-05-04,THE NIGHTINGALE,Kristin Hannah,9,78
2025-05-04,IRON FLAME,Rebecca Yarros,10,64
2025-05-04,THE PERFECT MARRIAGE,Jeneva Rose,11,2
2025-05-04,THE WEDDING PEOPLE,Alison Espach,12,19
2025-05-04,THE CRASH,Freida McFadden,13,12
2025-05-04,THE FROZEN RIVER,Ariel Lawhon,14,20
2025-05-04,LIGHTS OUT,Navessa Allen,15,14
2025-05-11,GREAT BIG BEAUTIFUL LIFE,Emily Henry,1,1
2025-05-11,LIGHTS OUT,Navessa Allen,2,15
2025-05-11,THE PERFECT DIVORCE,Jeneva Rose,3,2
2025-05-11,ONYX STORM,Rebecca Yarros,4,14
2025-05-11,STRANGERS IN TIME,David Baldacci,5,2
2025-05-11,SAY YOU'LL REMEMBER ME,Abby Jimenez,6,4
2025-05-11,2 SISTERS MURDER INVESTIGATIONS,James Patterson and Candice Fox,7,1
2025-05-11,THE NIGHTINGALE,Kristin Hannah,8,79
2025-05-11,FOURTH WING,Rebecca Yarros,9,92
2025-05-11,BROKEN COUNTRY,Clare Leslie Hall,10,8
2025-05-11,SHADOW OF THE SOLSTICE,Anne Hillerman,11,1
2025-05-11,THE HOUSEMAID,Freida McFadden,12,94
2025-05-11,INTO THE GRAY ZONE,Brad Taylor,13,1
2025-05-11,A COURT OF THORNS AND ROSES,Sarah J. Maas,14,46
2025-05-11,THE FROZEN RIVER,Ariel Lawhon,15,21
2025-05-18,25 ALIVE,James Patterson and Maxine Paetro,1,1
2025-05-18,KING OF ENVY,Ana Huang,2,1
2025-05-18,GREAT BIG BEAUTIFUL LIFE,Emily Henry,3,2
2025-05-18,A MIND OF HER OWN,Danielle Steel,4,1
2025-05-18,A COURT OF THORNS AND ROSES,Sarah J. Maas,5,47
2025-05-18,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,6,4
2025-05-18,ONYX STORM,Rebecca Yarros,7,15
2025-05-18,A COURT OF MIST AND FURY,Sarah J. Maas,8,23
2025-05-18,STRANGERS IN TIME,David Baldacci,9,3
2025-05-18,THE PERFECT DIVORCE,Jeneva Rose,10,3
2025-05-18,A COURT OF WINGS AND RUIN,Sarah J. Maas,11,10
2025-05-18,A COURT OF SILVER FLAMES,Sarah J. Maas,12,22
2025-05-18,A COURT OF FROST AND STARLIGHT,Sarah J. Maas,13,4
2025-05-18,THE NIGHTINGALE,Kristin Hannah,14,80
2025-05-18,FOURTH WING,Rebecca Yarros,15,93
2025-05-25,THE TENANT,Freida McFadden,1,1
2025-05-25,ONE GOLDEN SUMMER,Carley Fortune,2,1
2025-05-25,GREAT BIG BEAUTIFUL LIFE,Emily Henry,3,3
2025-05-25,SHIELD OF SPARROWS,Devney Perry,4,1
2025-05-25,MY FRIENDS,Fredrik Backman,5,1
2025-05-25,SILVER ELITE,Dani Francis,6,1
